# plane x_cr = 0.60 | grid 33 x 13, spacing 0.0219 x 0.0158 c_r | 405 of 429 nodes | y [-0.35,0.35] z [-0.03,0.16], bin-averaged from 19982 vertices | fields %.3f | nondimensional
y_cr,z_cr,u_U,v_U,w_U,cp,omega_x,q_star
-0.021,0.036,1.088,-0.028,-0.032,-0.185,0.099,-1.582
0.000,0.036,1.088,0.000,-0.024,-0.186,0.001,-1.497
0.021,0.036,1.088,0.029,-0.032,-0.185,-0.099,-1.573
0.042,0.036,1.086,0.054,-0.050,-0.185,-0.047,-2.811
0.064,0.036,1.083,0.081,-0.076,-0.186,-0.008,-6.312
0.085,0.036,1.077,0.131,-0.132,-0.195,-0.217,-20.506
0.106,0.036,1.066,0.202,-0.257,-0.242,-1.560,-85.095
0.127,0.036,1.053,0.285,-0.515,-0.471,3.668,-291.578
0.148,0.036,1.134,0.459,-0.683,-1.200,30.408,-166.608
0.170,0.036,1.354,0.723,-0.483,-2.664,82.975,1768.889
0.191,0.036,1.336,0.814,0.423,-3.119,103.113,3051.192
0.212,0.036,1.116,0.662,0.783,-1.663,38.606,-162.780
0.233,0.036,1.023,0.596,0.380,-0.734,14.302,-1374.275
0.255,0.036,0.946,-0.024,0.498,-0.654,60.040,42.886
0.276,0.036,0.983,-0.091,0.691,-0.453,-0.089,-69.486
0.297,0.036,0.960,-0.020,0.584,-0.264,0.051,-30.433
0.318,0.036,0.953,0.002,0.514,-0.173,0.073,-14.588
0.339,0.036,0.951,0.013,0.458,-0.114,0.062,-7.255
-0.339,0.050,0.966,0.017,0.433,-0.122,-0.057,-4.834
-0.318,0.050,0.973,0.043,0.496,-0.196,-0.046,-10.633
-0.297,0.050,0.984,0.077,0.546,-0.273,-0.035,-18.561
-0.276,0.050,1.004,0.147,0.612,-0.405,-0.023,-31.707
-0.255,0.050,1.031,0.252,0.653,-0.563,-3.379,-27.736
-0.233,0.050,1.085,0.112,0.593,-0.783,-38.652,-285.578
-0.212,0.050,1.336,0.023,0.728,-1.624,-39.659,-143.944
-0.191,0.050,1.611,0.161,0.366,-2.869,-90.967,2079.352
-0.170,0.050,1.573,0.116,-0.465,-2.449,-70.544,1121.976
-0.148,0.050,1.233,0.028,-0.690,-1.192,-29.299,-57.052
-0.127,0.050,1.119,-0.045,-0.519,-0.523,-0.120,-239.249
-0.106,0.050,1.094,-0.094,-0.280,-0.284,0.960,-64.183
-0.085,0.050,1.089,-0.076,-0.157,-0.218,-0.001,-16.918
