# plane y_D = 0 | grid 33 x 13, spacing 0.25 D | 419 of 429 nodes | fields %.3f | nondimensional
x_D,z_D,u_U,v_U,w_U,cp
3.000,0.500,0.364,0.005,-0.034,0.028
3.250,0.500,0.409,0.004,-0.028,0.033
3.500,0.500,0.447,0.004,-0.023,0.034
3.750,0.500,0.480,0.003,-0.019,0.033
4.000,0.500,0.509,0.003,-0.015,0.030
4.250,0.500,0.533,0.003,-0.013,0.026
4.500,0.500,0.555,0.002,-0.010,0.023
4.750,0.500,0.573,0.002,-0.009,0.020
5.000,0.500,0.590,0.002,-0.007,0.017
5.250,0.500,0.605,0.002,-0.007,0.014
5.500,0.500,0.618,0.002,-0.006,0.012
5.750,0.500,0.630,0.002,-0.005,0.009
6.000,0.500,0.641,0.002,-0.005,0.007
-2.000,0.750,0.976,-0.005,0.015,0.067
-1.750,0.750,0.957,-0.004,0.022,0.104
-1.500,0.750,0.938,-0.007,0.037,0.142
-1.250,0.750,0.912,-0.007,0.072,0.186
-1.000,0.750,0.885,-0.006,0.134,0.221
-0.750,0.750,0.876,-0.009,0.241,0.197
-0.500,0.750,1.000,-0.010,0.309,-0.072
-0.250,0.750,1.129,-0.010,0.253,-0.313
0.000,0.750,1.070,-0.007,0.140,-0.294
0.250,0.750,0.949,-0.005,0.076,-0.238
0.500,0.750,0.845,-0.004,0.045,-0.202
0.750,0.750,0.550,-0.003,0.027,-0.191
1.000,0.750,0.544,-0.002,0.013,-0.204
1.250,0.750,0.552,-0.000,-0.013,-0.196
1.500,0.750,0.569,0.001,-0.038,-0.165
1.750,0.750,0.593,0.002,-0.056,-0.121
2.000,0.750,0.620,0.003,-0.064,-0.077
2.250,0.750,0.648,0.003,-0.065,-0.039
2.500,0.750,0.674,0.002,-0.060,-0.011
2.750,0.750,0.697,0.002,-0.052,0.008
3.000,0.750,0.717,0.002,-0.044,0.019
3.250,0.750,0.734,0.001,-0.037,0.024
3.500,0.750,0.749,0.001,-0.030,0.026
3.750,0.750,0.761,0.001,-0.024,0.025
4.000,0.750,0.772,0.001,-0.019,0.024
4.250,0.750,0.781,0.001,-0.016,0.021
4.500,0.750,0.789,0.001,-0.013,0.019
4.750,0.750,0.795,0.001,-0.010,0.016
5.000,0.750,0.801,0.001,-0.008,0.014
5.250,0.750,0.806,0.000,-0.007,0.012
5.500,0.750,0.811,0.000,-0.006,0.010
5.750,0.750,0.815,0.000,-0.005,0.008
6.000,0.750,0.819,0.000,-0.005,0.006
-2.000,1.000,0.976,-0.005,0.015,0.067
-1.750,1.000,0.966,-0.004,0.026,0.086
-1.500,1.000,0.954,-0.006,0.041,0.107
-1.250,1.000,0.945,-0.005,0.068,0.123
-1.000,1.000,0.944,-0.004,0.108,0.117
-0.750,1.000,0.961,-0.005,0.155,0.074
-0.500,1.000,1.013,-0.006,0.188,-0.039
-0.250,1.000,1.071,-0.006,0.168,-0.155
0.000,1.000,1.096,-0.005,0.122,-0.191
0.250,1.000,1.095,-0.004,0.084,-0.185
0.500,1.000,1.084,-0.003,0.057,-0.171
0.750,1.000,1.072,-0.003,0.036,-0.163
1.000,1.000,1.060,-0.002,0.014,-0.161
1.250,1.000,1.045,-0.001,-0.010,-0.151
1.500,1.000,1.028,-0.000,-0.032,-0.129
1.750,1.000,1.010,0.000,-0.047,-0.099
2.000,1.000,0.995,0.001,-0.054,-0.068
2.250,1.000,0.982,0.001,-0.056,-0.041
2.500,1.000,0.973,0.001,-0.053,-0.019
2.750,1.000,0.967,0.001,-0.047,-0.004
3.000,1.000,0.963,0.001,-0.041,0.006
3.250,1.000,0.960,0.001,-0.035,0.012
3.500,1.000,0.959,0.000,-0.029,0.015
3.750,1.000,0.958,0.000,-0.024,0.016
4.000,1.000,0.958,0.000,-0.020,0.016
4.250,1.000,0.958,0.000,-0.016,0.015
4.500,1.000,0.958,0.000,-0.014,0.014
4.750,1.000,0.957,-0.000,-0.011,0.012
5.000,1.000,0.957,-0.000,-0.009,0.010
5.250,1.000,0.957,-0.000,-0.008,0.009
5.500,1.000,0.957,-0.000,-0.007,0.008
5.750,1.000,0.956,-0.000,-0.006,0.006
6.000,1.000,0.956,-0.000,-0.005,0.005
-2.000,1.250,0.986,-0.004,0.018,0.047
-1.750,1.250,0.977,-0.003,0.027,0.066
-1.500,1.250,0.970,-0.004,0.039,0.078
-1.250,1.250,0.970,-0.003,0.058,0.076
