# plane x_D = 5 | grid 25 x 25, spacing 0.25 D | 625 of 625 nodes | fields %.3f | nondimensional
y_D,z_D,u_U,v_U,w_U,cp,jet_tracer
-1.500,1.500,1.128,0.177,-0.003,0.027,0.000
-1.250,1.500,1.119,0.207,0.014,0.036,0.001
-1.000,1.500,1.108,0.232,0.046,0.053,0.005
-0.750,1.500,1.091,0.242,0.100,0.080,0.012
-0.500,1.500,1.062,0.218,0.175,0.121,0.022
-0.250,1.500,0.983,0.140,0.245,0.167,0.028
0.000,1.500,0.867,0.000,0.255,0.193,0.027
0.250,1.500,0.984,-0.139,0.244,0.167,0.029
0.500,1.500,1.062,-0.217,0.174,0.120,0.023
0.750,1.500,1.091,-0.242,0.098,0.080,0.012
1.000,1.500,1.108,-0.232,0.045,0.053,0.005
1.250,1.500,1.119,-0.206,0.014,0.036,0.001
1.500,1.500,1.128,-0.177,-0.003,0.027,0.000
1.750,1.500,1.134,-0.149,-0.012,0.022,0.000
2.000,1.500,1.138,-0.124,-0.016,0.020,0.000
2.250,1.500,1.140,-0.104,-0.017,0.020,0.000
2.500,1.500,1.141,-0.086,-0.017,0.020,0.000
2.750,1.500,1.141,-0.070,-0.015,0.022,0.000
3.000,1.500,1.138,-0.056,-0.013,0.023,0.000
-3.000,1.750,1.132,0.056,-0.023,0.020,0.000
-2.750,1.750,1.133,0.067,-0.026,0.018,0.000
-2.500,1.750,1.133,0.084,-0.031,0.015,0.000
-2.250,1.750,1.133,0.103,-0.035,0.012,0.000
-2.000,1.750,1.131,0.126,-0.037,0.009,0.000
-1.750,1.750,1.129,0.153,-0.037,0.008,0.000
-1.500,1.750,1.124,0.187,-0.032,0.008,0.001
-1.250,1.750,1.117,0.224,-0.015,0.012,0.003
-1.000,1.750,1.108,0.256,0.026,0.024,0.012
-0.750,1.750,1.087,0.268,0.104,0.048,0.029
-0.500,1.750,1.044,0.237,0.220,0.090,0.047
-0.250,1.750,0.965,0.149,0.345,0.141,0.049
0.000,1.750,0.857,0.001,0.391,0.167,0.039
0.250,1.750,0.964,-0.146,0.344,0.141,0.049
0.500,1.750,1.044,-0.235,0.219,0.090,0.047
0.750,1.750,1.087,-0.266,0.103,0.049,0.029
1.000,1.750,1.108,-0.255,0.025,0.024,0.012
