# plane x_D = 10 | grid 25 x 25, spacing 0.25 D | 625 of 625 nodes | fields %.3f | nondimensional
y_D,z_D,u_U,v_U,w_U,cp,jet_tracer
1.250,4.500,1.068,-0.005,-0.134,-0.091,0.182
1.500,4.500,1.156,0.017,-0.133,-0.059,0.107
1.750,4.500,1.148,0.022,-0.127,-0.036,0.039
2.000,4.500,1.123,0.019,-0.115,-0.019,0.008
2.250,4.500,1.111,0.015,-0.100,-0.007,0.001
2.500,4.500,1.107,0.012,-0.086,0.001,0.000
2.750,4.500,1.104,0.009,-0.073,0.008,0.000
3.000,4.500,1.101,0.007,-0.063,0.012,0.000
-3.000,4.750,1.101,-0.015,-0.064,0.012,0.000
-2.750,4.750,1.102,-0.018,-0.071,0.008,0.000
-2.500,4.750,1.105,-0.024,-0.082,0.002,0.000
-2.250,4.750,1.109,-0.031,-0.095,-0.006,0.001
-2.000,4.750,1.119,-0.040,-0.109,-0.017,0.006
-1.750,4.750,1.142,-0.050,-0.122,-0.034,0.032
-1.500,4.750,1.148,-0.056,-0.136,-0.059,0.096
-1.250,4.750,1.053,-0.051,-0.150,-0.095,0.172
-1.000,4.750,0.856,-0.034,-0.111,-0.140,0.223
-0.750,4.750,0.721,-0.016,0.057,-0.172,0.251
-0.500,4.750,0.721,-0.008,0.302,-0.166,0.255
-0.250,4.750,0.818,-0.007,0.524,-0.139,0.204
0.000,4.750,0.868,-0.002,0.619,-0.125,0.150
0.250,4.750,0.819,0.004,0.522,-0.138,0.204
0.500,4.750,0.725,0.005,0.300,-0.164,0.255
0.750,4.750,0.727,0.015,0.056,-0.169,0.251
1.000,4.750,0.864,0.034,-0.110,-0.137,0.222
1.250,4.750,1.059,0.051,-0.148,-0.093,0.171
1.500,4.750,1.149,0.056,-0.134,-0.058,0.094
1.750,4.750,1.141,0.050,-0.122,-0.033,0.031
2.000,4.750,1.119,0.040,-0.109,-0.017,0.006
2.250,4.750,1.109,0.031,-0.094,-0.006,0.001
2.500,4.750,1.105,0.024,-0.082,0.002,0.000
2.750,4.750,1.102,0.018,-0.070,0.008,0.000
3.000,4.750,1.101,0.015,-0.063,0.012,0.000
-3.000,5.000,1.099,-0.021,-0.058,0.014,0.000
-2.750,5.000,1.101,-0.027,-0.066,0.010,0.000
-2.500,5.000,1.103,-0.035,-0.075,0.005,0.000
-2.250,5.000,1.106,-0.045,-0.086,-0.002,0.000
-2.000,5.000,1.114,-0.058,-0.098,-0.012,0.004
-1.750,5.000,1.131,-0.075,-0.109,-0.026,0.021
-1.500,5.000,1.143,-0.093,-0.121,-0.048,0.073
-1.250,5.000,1.068,-0.109,-0.137,-0.079,0.151
-1.000,5.000,0.878,-0.115,-0.113,-0.120,0.209
-0.750,5.000,0.739,-0.107,0.037,-0.150,0.240
-0.500,5.000,0.725,-0.082,0.275,-0.143,0.244
-0.250,5.000,0.799,-0.047,0.488,-0.111,0.202
0.000,5.000,0.844,-0.002,0.578,-0.093,0.162
0.250,5.000,0.800,0.043,0.486,-0.111,0.202
0.500,5.000,0.727,0.079,0.272,-0.142,0.244
0.750,5.000,0.744,0.104,0.034,-0.148,0.240
1.000,5.000,0.885,0.114,-0.113,-0.118,0.208
1.250,5.000,1.073,0.107,-0.136,-0.078,0.149
1.500,5.000,1.143,0.092,-0.120,-0.047,0.071
1.750,5.000,1.131,0.074,-0.109,-0.026,0.020
2.000,5.000,1.113,0.057,-0.097,-0.012,0.003
2.250,5.000,1.106,0.044,-0.085,-0.002,0.000
2.500,5.000,1.103,0.035,-0.075,0.005,0.000
2.750,5.000,1.101,0.027,-0.065,0.010,0.000
3.000,5.000,1.099,0.021,-0.058,0.014,0.000
-3.000,5.250,1.097,-0.028,-0.054,0.015,0.000
-2.750,5.250,1.099,-0.034,-0.059,0.013,0.000
-2.500,5.250,1.101,-0.043,-0.066,0.008,0.000
-2.250,5.250,1.103,-0.055,-0.074,0.003,0.000
-2.000,5.250,1.108,-0.070,-0.082,-0.005,0.002
-1.750,5.250,1.119,-0.091,-0.089,-0.015,0.010
-1.500,5.250,1.134,-0.118,-0.094,-0.030,0.045
-1.250,5.250,1.098,-0.149,-0.100,-0.051,0.115
-1.000,5.250,0.942,-0.176,-0.085,-0.078,0.184
-0.750,5.250,0.793,-0.183,0.026,-0.095,0.219
-0.500,5.250,0.756,-0.150,0.229,-0.085,0.223
-0.250,5.250,0.797,-0.085,0.417,-0.054,0.196
0.000,5.250,0.826,-0.002,0.496,-0.037,0.172
0.250,5.250,0.797,0.082,0.415,-0.054,0.196
0.500,5.250,0.758,0.147,0.225,-0.085,0.224
0.750,5.250,0.797,0.180,0.023,-0.095,0.218
1.000,5.250,0.949,0.174,-0.085,-0.077,0.182
1.250,5.250,1.101,0.147,-0.099,-0.051,0.113
1.500,5.250,1.134,0.116,-0.094,-0.029,0.044
1.750,5.250,1.119,0.090,-0.089,-0.015,0.010
2.000,5.250,1.108,0.070,-0.082,-0.004,0.001
2.250,5.250,1.103,0.054,-0.074,0.003,0.000
2.500,5.250,1.101,0.043,-0.066,0.008,0.000
2.750,5.250,1.099,0.034,-0.059,0.013,0.000
3.000,5.250,1.097,0.028,-0.054,0.015,0.000
-3.000,5.500,1.095,-0.031,-0.047,0.018,0.000
-2.750,5.500,1.096,-0.039,-0.052,0.016,0.000
-2.500,5.500,1.098,-0.049,-0.057,0.013,0.000
-2.250,5.500,1.100,-0.061,-0.061,0.009,0.000
-2.000,5.500,1.102,-0.077,-0.065,0.004,0.000
-1.750,5.500,1.108,-0.098,-0.067,-0.002,0.004
-1.500,5.500,1.119,-0.126,-0.064,-0.010,0.020
-1.250,5.500,1.117,-0.160,-0.054,-0.020,0.068
-1.000,5.500,1.033,-0.195,-0.033,-0.030,0.138
-0.750,5.500,0.883,-0.212,0.034,-0.033,0.188
-0.500,5.500,0.803,-0.184,0.175,-0.018,0.201
-0.250,5.500,0.801,-0.107,0.320,0.009,0.190
0.000,5.500,0.811,-0.000,0.381,0.023,0.180
0.250,5.500,0.801,0.106,0.317,0.008,0.191
0.500,5.500,0.804,0.183,0.171,-0.019,0.201
0.750,5.500,0.888,0.211,0.032,-0.033,0.187
1.000,5.500,1.038,0.193,-0.034,-0.030,0.136
1.250,5.500,1.118,0.159,-0.055,-0.020,0.066
1.500,5.500,1.119,0.125,-0.064,-0.010,0.020
1.750,5.500,1.107,0.097,-0.067,-0.002,0.004
2.000,5.500,1.102,0.076,-0.065,0.004,0.000
2.250,5.500,1.100,0.061,-0.061,0.009,0.000
2.500,5.500,1.098,0.049,-0.056,0.013,0.000
2.750,5.500,1.096,0.039,-0.052,0.016,0.000
3.000,5.500,1.095,0.030,-0.047,0.018,0.000
-3.000,5.750,1.093,-0.036,-0.042,0.021,0.000
-2.750,5.750,1.094,-0.042,-0.044,0.019,0.000
-2.500,5.750,1.095,-0.052,-0.047,0.017,0.000
-2.250,5.750,1.096,-0.064,-0.048,0.015,0.000
-2.000,5.750,1.097,-0.079,-0.049,0.013,0.000
-1.750,5.750,1.099,-0.097,-0.046,0.010,0.001
-1.500,5.750,1.104,-0.121,-0.037,0.008,0.006
-1.250,5.750,1.110,-0.148,-0.018,0.006,0.027
-1.000,5.750,1.093,-0.176,0.014,0.007,0.073
-0.750,5.750,1.012,-0.191,0.063,0.014,0.131
-0.500,5.750,0.906,-0.170,0.141,0.031,0.168
-0.250,5.750,0.849,-0.101,0.226,0.051,0.179
0.000,5.750,0.836,0.001,0.264,0.060,0.179
0.250,5.750,0.850,0.102,0.224,0.050,0.179
0.500,5.750,0.910,0.170,0.139,0.030,0.167
0.750,5.750,1.016,0.191,0.061,0.014,0.129
1.000,5.750,1.095,0.175,0.012,0.007,0.072
1.250,5.750,1.110,0.147,-0.019,0.006,0.026
1.500,5.750,1.104,0.120,-0.038,0.007,0.006
1.750,5.750,1.099,0.097,-0.046,0.010,0.001
2.000,5.750,1.097,0.078,-0.049,0.013,0.000
2.250,5.750,1.096,0.064,-0.048,0.015,0.000
2.500,5.750,1.095,0.052,-0.047,0.017,0.000
2.750,5.750,1.094,0.042,-0.044,0.019,0.000
3.000,5.750,1.093,0.036,-0.042,0.021,0.000
-3.000,6.000,1.092,-0.036,-0.035,0.024,0.000
-2.750,6.000,1.092,-0.044,-0.037,0.023,0.000
-2.500,6.000,1.093,-0.053,-0.037,0.022,0.000
-2.250,6.000,1.093,-0.064,-0.037,0.021,0.000
-2.000,6.000,1.093,-0.077,-0.034,0.020,0.000
-1.750,6.000,1.093,-0.092,-0.028,0.020,0.000
-1.500,6.000,1.094,-0.109,-0.017,0.021,0.001
-1.250,6.000,1.096,-0.127,0.003,0.024,0.006
-1.000,6.000,1.097,-0.142,0.036,0.030,0.023
-0.750,6.000,1.084,-0.146,0.081,0.040,0.054
-0.500,6.000,1.044,-0.126,0.131,0.054,0.092
-0.250,6.000,0.998,-0.075,0.176,0.068,0.119
0.000,6.000,0.979,0.001,0.194,0.074,0.127
0.250,6.000,0.999,0.077,0.175,0.068,0.118
0.500,6.000,1.046,0.127,0.129,0.054,0.091
0.750,6.000,1.085,0.146,0.079,0.040,0.053
1.000,6.000,1.097,0.141,0.035,0.030,0.022
1.250,6.000,1.096,0.126,0.002,0.024,0.006
1.500,6.000,1.094,0.108,-0.018,0.021,0.001
1.750,6.000,1.094,0.091,-0.029,0.020,0.000
2.000,6.000,1.094,0.076,-0.034,0.020,0.000
2.250,6.000,1.093,0.064,-0.037,0.021,0.000
2.500,6.000,1.093,0.053,-0.037,0.022,0.000
2.750,6.000,1.092,0.044,-0.037,0.023,0.000
3.000,6.000,1.092,0.035,-0.035,0.024,0.000
