# plane y_D = 0 | grid 29 x 25 (spacing 0.5 D in x_D, 0.25 D in z_D) | 725 of 725 nodes | fields %.3f | nondimensional
x_D,z_D,u_U,v_U,w_U,cp,jet_tracer
9.000,1.750,1.039,-0.000,0.102,0.099,0.014
9.500,1.750,1.046,-0.000,0.089,0.090,0.012
10.000,1.750,1.052,-0.000,0.079,0.082,0.012
10.500,1.750,1.058,-0.000,0.070,0.075,0.011
11.000,1.750,1.063,-0.000,0.062,0.068,0.010
11.500,1.750,1.067,-0.000,0.055,0.061,0.009
12.000,1.750,1.071,-0.000,0.049,0.054,0.009
-2.000,2.000,0.991,0.000,0.042,0.327,0.000
-1.500,2.000,0.967,0.000,0.053,0.374,0.000
-1.000,2.000,0.919,0.000,0.077,0.464,0.000
-0.500,2.000,0.819,0.000,0.138,0.629,0.000
0.000,2.000,0.594,0.000,0.323,0.882,0.006
0.500,2.000,1.428,-0.001,2.682,-0.181,0.916
1.000,2.000,-0.123,-0.001,0.182,-0.856,0.229
1.500,2.000,-0.083,-0.003,0.721,-0.848,0.197
2.000,2.000,-0.023,-0.001,0.927,-0.819,0.173
2.500,2.000,0.113,0.001,0.988,-0.661,0.153
3.000,2.000,0.297,0.002,0.959,-0.424,0.132
3.500,2.000,0.478,0.002,0.864,-0.206,0.108
4.000,2.000,0.628,0.002,0.745,-0.043,0.086
4.500,2.000,0.743,0.002,0.627,0.057,0.068
5.000,2.000,0.826,0.002,0.524,0.109,0.054
5.500,2.000,0.886,0.001,0.438,0.133,0.045
6.000,2.000,0.930,0.001,0.369,0.140,0.038
6.500,2.000,0.963,0.001,0.313,0.138,0.032
7.000,2.000,0.988,0.001,0.268,0.133,0.028
7.500,2.000,1.007,0.001,0.232,0.125,0.024
8.000,2.000,1.023,0.001,0.203,0.116,0.022
8.500,2.000,1.036,0.000,0.179,0.108,0.019
9.000,2.000,1.046,0.000,0.158,0.100,0.018
9.500,2.000,1.055,0.000,0.141,0.092,0.016
10.000,2.000,1.062,0.000,0.126,0.084,0.015
10.500,2.000,1.068,0.000,0.114,0.077,0.014
11.000,2.000,1.074,0.000,0.103,0.070,0.013
11.500,2.000,1.079,0.000,0.093,0.063,0.012
12.000,2.000,1.083,0.000,0.084,0.057,0.011
-2.000,2.250,0.989,0.000,0.042,0.319,0.000
-1.500,2.250,0.969,0.000,0.054,0.358,0.000
-1.000,2.250,0.929,0.000,0.078,0.431,0.000
-0.500,2.250,0.854,0.000,0.133,0.556,0.000
0.000,2.250,0.700,0.000,0.270,0.746,0.000
0.500,2.250,1.480,0.000,2.265,0.510,0.772
1.000,2.250,0.109,-0.000,0.302,-0.708,0.339
1.500,2.250,-0.068,-0.003,0.559,-0.669,0.203
2.000,2.250,-0.032,-0.002,0.833,-0.716,0.185
2.500,2.250,0.066,-0.000,0.948,-0.670,0.170
3.000,2.250,0.223,0.001,0.967,-0.517,0.154
3.500,2.250,0.398,0.002,0.926,-0.330,0.134
4.000,2.250,0.556,0.002,0.842,-0.171,0.112
4.500,2.250,0.682,0.002,0.742,-0.054,0.091
5.000,2.250,0.779,0.002,0.644,0.025,0.074
5.500,2.250,0.851,0.002,0.554,0.071,0.060
6.000,2.250,0.904,0.001,0.478,0.097,0.050
6.500,2.250,0.944,0.001,0.413,0.108,0.043
7.000,2.250,0.975,0.001,0.359,0.112,0.037
7.500,2.250,0.998,0.001,0.314,0.111,0.032
8.000,2.250,1.017,0.001,0.277,0.107,0.028
8.500,2.250,1.032,0.001,0.246,0.102,0.025
9.000,2.250,1.044,0.001,0.219,0.096,0.023
9.500,2.250,1.054,0.001,0.197,0.089,0.021
10.000,2.250,1.063,0.001,0.178,0.083,0.019
10.500,2.250,1.070,0.001,0.161,0.076,0.017
11.000,2.250,1.076,0.000,0.146,0.070,0.016
11.500,2.250,1.082,0.000,0.134,0.064,0.015
12.000,2.250,1.087,0.000,0.122,0.058,0.014
-2.000,2.500,0.989,0.000,0.041,0.310,0.000
-1.500,2.500,0.972,0.000,0.054,0.342,0.000
-1.000,2.500,0.941,0.000,0.077,0.400,0.000
-0.500,2.500,0.886,0.000,0.126,0.493,-0.000
0.000,2.500,0.784,0.000,0.232,0.629,0.000
0.500,2.500,0.837,0.001,0.863,0.727,0.190
