# samples.csv | importance-weighted volumetric sample | jet_r2_re100
# field grad_vel_mag, alpha 1, N 800 of 436390 cells, seed 42 | p_i ~ Volume*grad_vel_mag^alpha, no replacement
# vol_weight: per-sample volume share, self-normalized so sum(vol_weight) = domain volume; sum(f*vol_weight) estimates the volume integral of f | fields %.3f, vol_weight %.2e | nondimensional
x_D,y_D,z_D,u_U,v_U,w_U,cp,jet_tracer,vol_weight
11.250,3.750,0.300,0.393,-0.001,0.001,0.024,0.000,4.40e-01
11.250,4.250,0.300,0.396,-0.001,0.001,0.023,0.000,4.38e-01
11.250,4.750,0.750,0.911,-0.003,0.006,0.022,0.000,7.03e-01
11.313,-2.062,0.813,0.882,0.034,0.016,0.032,0.000,6.62e-01
11.313,0.562,0.175,0.236,0.025,-0.001,0.045,0.003,4.24e-01
11.375,-2.875,0.625,0.760,0.017,0.008,0.027,0.000,5.41e-01
11.438,-1.062,4.313,0.997,0.093,-0.038,-0.072,0.199,1.10e+00
11.438,-0.188,2.813,1.081,0.041,0.227,0.054,0.028,1.12e+01
11.563,-2.688,0.175,0.222,-0.005,0.001,0.026,0.000,4.34e-01
11.563,-0.562,0.175,0.238,-0.025,-0.001,0.042,0.003,4.21e-01
11.563,-0.562,5.438,0.791,-0.127,0.209,-0.095,0.224,1.93e+00
11.563,-0.438,1.813,1.106,0.058,0.056,0.055,0.005,6.24e+00
11.563,-0.438,4.688,0.850,0.049,0.362,-0.119,0.235,8.35e-01
11.563,0.938,6.188,1.080,0.157,0.032,0.022,0.045,3.36e+00
11.688,-2.688,0.688,0.804,0.021,0.010,0.025,0.000,5.78e-01
11.688,1.438,5.063,1.095,0.053,-0.147,-0.061,0.101,1.70e+00
11.688,1.938,5.938,1.100,0.083,-0.056,0.005,0.000,2.13e+01
11.750,-3.750,0.300,0.388,0.000,0.000,0.021,0.000,4.45e-01
11.750,-3.250,0.750,0.885,0.020,0.008,0.023,0.000,6.82e-01
11.750,4.250,0.750,0.901,-0.009,0.006,0.020,0.000,6.99e-01
11.750,4.250,1.250,1.104,-0.012,0.003,0.020,0.000,2.38e+00
11.750,4.750,0.750,0.902,-0.003,0.006,0.020,0.000,7.01e-01
11.750,-4.750,0.750,0.902,0.003,0.006,0.020,0.000,7.01e-01
11.750,4.250,0.020,0.027,0.000,0.000,0.020,0.000,4.07e-01
11.812,-1.188,0.070,0.077,-0.008,0.000,0.033,0.002,4.98e-01
11.813,1.938,0.688,0.750,-0.018,0.012,0.029,0.000,5.69e-01
11.813,0.812,0.020,0.025,0.003,0.000,0.037,0.003,4.38e-01
11.938,-2.062,0.688,0.758,0.018,0.012,0.027,0.000,5.71e-01
11.938,0.938,6.063,1.037,0.181,0.012,0.004,0.091,1.35e+00
11.938,1.562,0.438,0.462,0.009,0.006,0.030,0.000,5.36e-01
12.062,2.438,0.070,0.088,0.003,0.000,0.023,0.000,4.35e-01
12.063,-1.062,4.438,0.978,0.092,-0.038,-0.071,0.190,1.17e+00
12.063,1.438,0.438,0.452,0.011,0.006,0.030,0.001,5.52e-01
12.188,2.312,0.175,0.214,0.007,0.001,0.023,0.000,4.53e-01
12.188,-2.188,0.563,0.639,0.007,0.008,0.024,0.000,5.23e-01
12.188,-2.062,0.313,0.362,-0.008,0.003,0.025,0.000,4.85e-01
12.188,-1.312,4.813,1.033,0.019,-0.137,-0.075,0.144,1.10e+00
12.188,-0.938,0.938,0.853,0.033,0.015,0.033,0.001,7.66e-01
12.188,1.438,1.063,0.980,-0.049,0.023,0.030,0.000,9.13e-01
12.250,-4.750,0.300,0.389,0.000,0.001,0.017,0.000,4.46e-01
12.250,-4.750,0.750,0.894,0.003,0.006,0.017,0.000,7.00e-01
12.250,-4.250,0.300,0.387,0.000,0.001,0.017,0.000,4.47e-01
12.250,-3.250,0.750,0.876,0.019,0.008,0.020,0.000,6.82e-01
12.250,4.750,0.750,0.894,-0.003,0.006,0.017,0.000,7.00e-01
12.312,0.062,0.175,0.287,0.004,-0.006,0.038,0.004,3.51e-01
12.313,-2.062,1.188,1.073,0.049,0.017,0.025,0.000,1.64e+00
12.313,-1.312,0.563,0.559,-0.006,0.010,0.028,0.001,5.86e-01
12.313,-0.688,4.938,0.783,0.037,0.162,-0.132,0.237,2.12e+00
12.313,1.188,4.188,1.081,-0.089,-0.043,-0.039,0.158,1.82e+00
12.438,-2.062,3.688,1.115,0.055,-0.076,0.000,0.006,1.53e+01
12.438,-0.062,0.438,0.632,-0.005,-0.024,0.036,0.004,5.19e-01
12.438,0.688,6.188,0.960,0.178,0.076,0.017,0.131,1.20e+00
12.438,0.812,0.938,0.853,-0.029,0.010,0.031,0.001,8.21e-01
12.562,1.563,0.020,0.023,0.002,0.000,0.024,0.001,4.79e-01
12.563,-0.688,0.938,0.860,0.024,0.004,0.031,0.001,9.00e-01
12.563,-0.562,4.688,0.868,0.074,0.257,-0.096,0.232,1.14e+00
12.563,0.812,4.063,1.037,-0.102,0.095,-0.030,0.204,2.22e+00
12.563,1.562,5.313,1.105,0.067,-0.135,-0.042,0.059,3.42e+00
12.688,-2.188,0.175,0.209,-0.007,0.001,0.020,0.000,4.65e-01
12.688,-0.188,0.563,0.731,-0.010,-0.027,0.033,0.004,6.81e-01
12.750,-3.250,0.300,0.373,-0.001,0.000,0.016,0.000,4.60e-01
12.750,-3.750,0.020,0.026,-0.000,0.000,0.015,0.000,4.17e-01
12.750,4.750,0.300,0.385,-0.000,0.000,0.014,0.000,4.50e-01
12.813,-2.312,4.938,1.110,-0.015,-0.093,-0.008,0.002,2.10e+01
12.938,1.812,0.175,0.198,0.009,0.001,0.020,0.000,4.92e-01
12.938,2.562,0.175,0.215,0.005,0.001,0.017,0.000,4.50e-01
13.063,-1.688,0.438,0.462,-0.008,0.005,0.019,0.000,5.43e-01
13.063,1.062,0.688,0.659,-0.000,0.010,0.022,0.001,6.65e-01
13.063,1.688,0.563,0.586,0.000,0.008,0.019,0.000,5.59e-01
13.188,-0.562,4.938,0.842,0.051,0.262,-0.102,0.227,1.11e+00
13.188,1.188,0.813,0.762,-0.016,0.014,0.021,0.000,6.75e-01
13.188,1.688,0.438,0.463,0.008,0.005,0.018,0.000,5.43e-01
13.250,-3.750,1.250,1.096,0.019,0.004,0.012,0.000,2.10e+00
13.250,3.250,1.250,1.094,-0.026,0.006,0.013,0.000,2.05e+00
13.250,3.750,0.300,0.378,0.000,0.000,0.012,0.000,4.57e-01
13.250,4.750,0.750,0.878,-0.003,0.005,0.011,0.000,6.98e-01
13.250,4.750,0.300,0.382,-0.000,0.000,0.011,0.000,4.54e-01
13.312,0.062,0.175,0.285,0.003,-0.005,0.026,0.004,3.54e-01
13.313,-2.312,0.688,0.752,0.014,0.009,0.015,0.000,5.88e-01
13.313,-1.312,4.563,1.055,0.070,-0.090,-0.044,0.128,1.63e+00
13.313,-0.188,5.688,0.909,-0.043,0.431,-0.041,0.167,1.77e+00
13.313,0.812,0.438,0.482,0.024,0.002,0.021,0.002,5.84e-01
13.375,-2.875,0.070,0.088,-0.002,0.000,0.012,0.000,4.32e-01
13.438,-1.812,0.175,0.197,-0.008,0.001,0.015,0.000,4.97e-01
13.438,-1.438,5.688,1.065,-0.110,-0.123,-0.035,0.075,1.82e+00
13.438,0.062,1.688,1.077,-0.008,0.027,0.034,0.007,5.92e+00
13.438,1.312,1.313,1.066,-0.057,0.021,0.019,0.000,1.61e+00
13.438,1.438,0.438,0.446,0.012,0.005,0.017,0.001,5.73e-01
13.563,0.188,5.438,0.926,0.014,0.473,-0.070,0.162,1.47e+00
13.563,0.312,0.563,0.710,0.013,-0.019,0.022,0.004,6.56e-01
13.563,1.812,0.688,0.709,-0.010,0.010,0.014,0.000,5.94e-01
13.563,2.438,0.070,0.086,0.002,0.000,0.012,0.000,4.45e-01
13.563,2.438,0.175,0.211,0.005,0.001,0.012,0.000,4.60e-01
13.688,-1.562,0.020,0.023,-0.001,0.000,0.013,0.001,4.81e-01
13.688,0.812,0.175,0.214,0.019,0.000,0.017,0.003,4.67e-01
13.750,-4.250,0.300,0.378,0.000,0.000,0.008,0.000,4.59e-01
13.750,-3.750,0.300,0.375,-0.000,0.000,0.008,0.000,4.61e-01
13.750,3.750,0.300,0.375,0.000,0.000,0.008,0.000,4.61e-01
13.750,-4.250,0.750,0.869,0.007,0.005,0.008,0.000,6.97e-01
13.750,0.750,7.250,1.084,0.070,0.041,0.037,0.003,2.28e+01
13.750,-4.750,0.300,0.379,0.000,0.000,0.008,0.000,4.58e-01
13.813,-2.438,0.313,0.366,-0.004,0.002,0.010,0.000,4.83e-01
13.813,2.062,0.438,0.484,0.003,0.004,0.011,0.000,5.24e-01
13.938,-1.062,0.938,0.843,0.024,0.013,0.013,0.000,7.84e-01
14.063,-1.438,1.188,1.017,0.046,0.019,0.011,0.000,1.14e+00
14.063,-0.062,0.313,0.480,-0.004,-0.012,0.017,0.004,4.10e-01
14.188,-2.312,0.070,0.084,-0.002,0.000,0.007,0.000,4.55e-01
14.188,0.938,0.438,0.467,0.020,0.003,0.010,0.002,5.94e-01
14.250,-3.750,0.020,0.025,-0.000,0.000,0.005,0.000,4.26e-01
14.250,-4.750,0.750,0.864,0.002,0.004,0.005,0.000,6.98e-01
14.250,-4.250,0.300,0.375,0.000,0.000,0.005,0.000,4.62e-01
14.250,-3.750,0.750,0.857,0.011,0.006,0.006,0.000,6.96e-01
14.250,-3.750,1.250,1.091,0.018,0.004,0.005,0.000,1.98e+00
14.250,-3.250,0.300,0.366,-0.000,0.000,0.005,0.000,4.72e-01
14.250,3.250,0.300,0.366,0.000,0.000,0.005,0.000,4.72e-01
14.250,4.250,0.750,0.862,-0.007,0.005,0.005,0.000,6.97e-01
14.250,4.250,0.070,0.089,-0.000,0.000,0.005,0.000,4.29e-01
14.313,-2.062,0.175,0.201,-0.005,0.001,0.006,0.000,4.86e-01
14.313,-1.938,0.175,0.198,-0.005,0.001,0.006,0.000,4.93e-01
14.313,-0.562,5.188,0.834,0.029,0.260,-0.070,0.217,1.15e+00
14.313,1.312,0.938,0.855,-0.026,0.015,0.008,0.000,7.51e-01
14.375,1.625,6.375,1.096,0.118,-0.047,0.004,0.009,1.87e+01
14.438,-0.938,0.438,0.468,-0.020,0.003,0.007,0.002,5.94e-01
14.438,0.688,0.020,0.027,0.002,-0.000,0.008,0.003,3.97e-01
14.563,-0.688,4.313,1.020,0.090,0.135,-0.007,0.185,2.24e+00
14.563,0.062,0.438,0.629,0.003,-0.018,0.008,0.004,5.03e-01
14.563,0.312,3.938,1.086,-0.049,0.260,0.006,0.093,9.86e+00
14.563,1.438,1.688,1.129,-0.061,0.015,0.006,0.000,9.44e+00
14.688,-0.688,0.563,0.625,-0.017,-0.002,0.004,0.002,6.50e-01
14.750,-3.750,0.750,0.850,0.011,0.005,0.001,0.000,6.96e-01
14.750,-3.250,0.300,0.363,0.000,0.001,0.002,0.000,4.76e-01
14.750,-4.750,0.750,0.856,0.002,0.004,0.001,0.000,6.98e-01
14.750,-4.250,1.250,1.090,0.011,0.002,0.001,0.000,1.95e+00
14.750,0.250,7.250,1.084,0.035,0.087,0.019,0.019,6.18e+00
14.813,-2.312,0.313,0.357,-0.002,0.002,0.002,0.000,4.98e-01
14.813,-2.188,0.438,0.482,-0.001,0.004,0.002,0.000,5.28e-01
14.813,-0.062,1.063,0.986,0.002,-0.026,0.004,0.004,1.97e+00
14.813,0.812,0.688,0.691,0.006,0.002,0.002,0.002,7.35e-01
14.875,1.125,6.375,1.005,0.170,-0.001,-0.001,0.096,1.73e+00
14.875,2.875,0.625,0.706,-0.010,0.005,0.001,0.000,5.75e-01
14.938,0.688,1.063,0.931,-0.027,0.002,0.001,0.001,1.10e+00
