# samples.csv | importance-weighted volumetric sample | jet_r2_re100
# field grad_vel_mag, alpha 1, N 800 of 436390 cells, seed 42 | p_i ~ Volume*grad_vel_mag^alpha, no replacement
# vol_weight: per-sample volume share, self-normalized so sum(vol_weight) = domain volume; sum(f*vol_weight) estimates the volume integral of f | fields %.3f, vol_weight %.2e | nondimensional
x_D,y_D,z_D,u_U,v_U,w_U,cp,jet_tracer,vol_weight
0.781,-0.094,2.844,0.897,-0.099,0.717,0.572,0.135,9.82e-02
0.781,0.219,2.594,1.581,0.236,1.716,0.347,0.643,6.89e-02
0.781,0.406,2.781,0.897,0.348,0.431,0.396,0.055,2.22e-01
0.844,-0.656,0.781,1.039,-0.063,0.152,-1.489,0.533,1.15e-01
0.844,-0.656,1.594,0.857,-0.240,0.761,-1.116,0.654,7.89e-02
0.844,-0.656,1.781,1.162,-0.284,1.047,-0.955,0.716,9.68e-02
0.844,0.156,2.656,1.687,0.156,1.836,0.329,0.703,8.90e-02
0.844,0.344,2.594,1.587,0.336,1.517,0.194,0.604,7.49e-02
0.844,0.469,2.469,1.598,0.410,1.386,-0.017,0.600,8.82e-02
0.844,1.031,0.020,0.079,-0.094,-0.000,-0.527,0.000,9.34e-02
0.906,-0.594,2.594,1.236,-0.483,0.571,0.049,0.209,1.08e-01
0.906,-0.406,2.281,1.318,-0.163,1.523,-0.577,0.776,6.99e-02
0.906,0.281,0.656,0.378,-0.221,0.353,-1.611,0.344,1.82e-01
0.906,0.344,0.156,0.114,-0.564,0.181,-1.022,0.025,1.26e-01
0.906,0.469,2.781,1.064,0.413,0.541,0.265,0.136,1.23e-01
0.906,1.031,0.020,0.072,-0.091,-0.000,-0.510,0.000,9.83e-02
0.938,-2.688,0.175,0.498,0.054,-0.001,-0.027,0.000,2.20e-01
0.969,0.219,2.406,1.070,0.067,1.278,-0.557,0.675,5.04e-02
1.031,-0.844,1.281,1.342,-0.158,0.318,-1.157,0.470,1.78e-01
1.031,-0.656,0.344,1.205,0.621,0.048,-0.856,0.026,3.02e-01
1.031,-0.031,1.031,-0.179,0.008,0.848,-1.383,0.167,3.43e-01
1.094,-0.094,0.020,-0.148,-0.001,-0.003,-0.638,0.010,9.14e-02
1.156,0.219,2.656,1.359,0.056,1.351,-0.365,0.721,6.09e-02
1.156,0.594,3.094,0.977,0.345,0.250,0.211,0.018,5.90e-01
1.156,0.719,2.531,1.531,0.422,0.675,-0.290,0.374,1.39e-01
1.188,-2.062,3.688,1.062,-0.083,0.014,0.115,-0.000,1.07e+01
1.188,-1.938,4.438,1.042,-0.062,0.030,0.148,0.000,1.76e+01
1.188,1.812,1.938,1.192,0.077,-0.077,-0.123,0.000,3.30e+00
1.219,-0.781,1.219,0.983,-0.040,0.230,-1.229,0.495,1.10e-01
1.219,-0.719,1.656,0.676,-0.124,0.254,-1.090,0.524,9.64e-02
1.219,0.594,2.281,1.000,0.171,0.781,-0.697,0.631,6.95e-02
1.250,-4.250,0.070,0.179,0.006,0.000,0.044,0.000,2.15e-01
1.250,-3.250,0.300,0.764,0.037,-0.000,0.009,0.000,3.18e-01
1.250,-3.250,0.750,1.131,0.009,0.006,0.012,-0.000,1.31e+00
1.250,3.750,0.300,0.755,-0.023,0.003,0.031,0.000,3.25e-01
1.250,4.750,0.300,0.738,-0.004,0.005,0.051,0.000,3.30e-01
1.281,-0.281,1.094,0.002,0.049,0.223,-1.335,0.359,1.83e-01
1.313,-2.562,0.175,0.481,0.078,-0.002,-0.048,0.000,2.22e-01
1.313,-1.688,1.938,1.215,-0.076,-0.101,-0.183,0.000,2.77e+00
1.313,1.438,0.563,1.226,-0.156,-0.029,-0.293,0.000,7.89e-01
1.344,-0.844,1.031,1.351,0.168,0.059,-1.090,0.296,2.31e-01
1.344,-0.781,1.281,0.944,0.008,0.194,-1.205,0.481,1.12e-01
1.344,-0.656,1.719,0.365,-0.103,-0.034,-1.074,0.435,1.67e-01
1.344,-0.156,2.969,1.801,-0.058,1.523,-0.062,0.754,1.92e-01
1.375,2.875,0.625,1.100,-0.023,-0.000,-0.021,0.000,9.00e-01
1.406,-0.094,3.219,1.679,-0.076,1.289,0.268,0.546,1.05e-01
1.438,-1.312,0.813,1.326,0.187,-0.077,-0.399,0.000,1.68e+00
1.438,1.062,0.563,1.279,-0.315,-0.015,-0.446,0.001,6.96e-01
1.469,-0.281,2.906,1.393,-0.067,1.107,-0.275,0.688,7.22e-02
1.563,-0.312,1.438,-0.096,0.021,0.288,-1.136,0.355,2.26e-01
1.563,-0.188,2.813,0.414,-0.103,0.417,-0.359,0.398,9.30e-02
1.563,0.062,1.063,0.096,-0.043,1.012,-0.995,0.139,6.80e-01
1.563,0.062,3.438,1.361,0.052,0.905,0.349,0.310,1.06e-01
1.563,0.438,3.313,1.324,0.310,0.683,0.198,0.254,1.27e-01
1.563,1.062,2.313,1.403,0.234,-0.020,-0.491,0.110,5.95e-01
1.688,-1.812,0.438,1.013,0.139,0.000,-0.143,0.000,4.12e-01
1.688,-1.312,0.070,0.164,0.117,0.002,-0.205,0.000,1.80e-01
